电影名,主演,上映日期,评分,影评数,热门影评
搏击俱乐部,爱德华·诺顿,"
                            1999 ",9.0,855756人,邪恶与平庸蛰伏于同一个母体，在特定的时间互相对峙。
美丽心灵,罗素·克劳,"
                            2001 ",9.1,777289人,爱是一切逻辑和原由。
本杰明·巴顿奇事,凯特·布兰切特,"
                            2008 ",9.0,994657人,在时间之河里感受溺水之苦。
穿条纹睡衣的男孩,阿萨·巴特菲尔德,"
                            2008 ",9.2,573308人,尽管有些不切实际的幻想，这部电影依旧是一部感人肺腑的佳作。
窃听风暴,未知,"
                            2006 ",9.2,570784人,别样人生。
情书,中山美穗,"
                            1995 ",8.9,1128468人,暗恋的极致。
两杆大烟枪,杰森·弗莱明,"
                            1998 ",9.1,601018人,4个臭皮匠顶个诸葛亮，盖·里奇果然不是盖的。
西西里的美丽传说,莫妮卡·贝鲁奇,"
                            2000 ",8.9,985942人,美丽无罪。
看不见的客人,马里奥·卡萨斯,"
                            2016 ",8.8,1285912人,你以为你以为的就是你以为的。
音乐之声,朱莉·安德鲁斯,"
                            1965 ",9.1,609881人,用音乐化解仇恨，让歌声串起美好。
阿凡达,萨姆·沃辛顿,"
                            2009 ",8.8,1436129人,绝对意义上的美轮美奂。
拯救大兵瑞恩,汤姆·汉克斯,"
                            1998 ",9.1,654410人,美利坚精神输出大片No1.
哈利·波特与死亡圣器(下),丹尼尔·雷德克里夫,"
                            2011 ",9.0,843487人,10年的完美句点。
飞越疯人院,杰克·尼科尔森,"
                            1975 ",9.1,552455人,自由万岁。
小鞋子,默罕默德·阿米尔·纳吉,"
                            1997 ",9.2,415921人,奔跑的孩子是天使。
沉默的羔羊,朱迪·福斯特,"
                            1991 ",8.9,900776人,安东尼·霍普金斯的顶级表演。
布达佩斯大饭店,拉尔夫·费因斯,"
                            2014 ",8.9,949923人,小清新的故事里注入了大历史的情怀。
禁闭岛,莱昂纳多·迪卡普里奥,"
                            2010 ",8.9,990373人,昔日翩翩少年，今日大腹便便。
功夫,周星驰,"
                            2004 ",8.8,1150882人,警恶惩奸，维护世界和平这个任务就交给你了，好吗？
蝴蝶效应,未知,"
                            2004 ",8.9,949718人,人的命运被自己瞬间的抉择改变。
致命魔术,休·杰克曼,"
                            2006 ",8.9,871425人,孪生蝙蝠侠大战克隆金刚狼。
哈利·波特与阿兹卡班的囚徒,丹尼尔·雷德克里夫,"
                            2004 ",8.9,743337人,不一样的导演，不一样的哈利·波特。
心灵捕手,马特·达蒙,"
                            1997 ",8.9,723036人,人生中应该拥有这样的一段豁然开朗。
超脱,艾德里安·布洛迪,"
                            2011 ",9.0,612197人,穷尽一生，我们要学会的，不过是彼此拥抱。
海豚湾,路易·西霍尤斯,"
                            2009 ",9.3,359806人,海豚的微笑，是世界上最高明的伪装。
低俗小说,约翰·特拉沃尔塔,"
                            1994 ",8.9,843246人,故事的高级讲法。
春光乍泄,张国荣,"
                            1997 ",9.0,639444人,爱情纠缠，男女一致。
摩登时代,查理·卓别林,"
                            1936 ",9.3,305341人,大时代中的人生，小人物的悲喜。
美国往事,罗伯特·德尼罗,"
                            1984 ",9.2,416800人,往事如烟，无处祭奠。
喜剧之王,周星驰,"
                            1999 ",8.8,981504人,我是一个演员。
致命ID,约翰·库萨克,"
                            2003 ",8.9,836192人,最不可能的那个人永远是最可能的。
杀人回忆,宋康昊,"
                            2003 ",8.9,724639人,关于连环杀人悬案的集体回忆。
七宗罪,摩根·弗里曼,"
                            1995 ",8.8,951889人,警察抓小偷，老鼠玩死猫。
红辣椒,林原惠美,"
                            2006 ",9.1,472774人,梦的勾结。
加勒比海盗,约翰尼·德普,"
                            2003 ",8.8,869251人,约翰尼·德普的独角戏。
哈利·波特与密室,丹尼尔·雷德克里夫,"
                            2002 ",8.9,770609人,魔法的密室之门已打开...
一一,吴念真,"
                            2000 ",9.1,401138人,我们都曾经是一一。
狩猎,麦斯·米科尔森,"
                            2012 ",9.1,397513人,人言可畏。
